State,Rank,2026_Population,annual_change,since_2020,density(mi^2)
California,1,"39,896,400",0.59%,0.16%,256
Texas,2,"32,416,700",1.77%,1.81%,124
Florida,3,"24,306,900",1.96%,2.10%,453
New York,4,"20,127,000",0.65%,0.02%,427
Pennsylvania,5,"13,200,800",0.46%,0.26%,295
Illinois,6,"12,846,000",0.53%,0.06%,231
Ohio,7,"12,001,800",0.50%,0.29%,294
Georgia,8,"11,413,800",1.03%,1.06%,198
North Carolina,9,"11,375,700",1.47%,1.48%,234
Michigan,10,"10,254,700",0.56%,0.30%,181
New Jersey,11,"9,743,270",1.26%,0.85%,"1,325"
Virginia,12,"8,964,220",0.86%,0.63%,227
Washington,13,"8,159,900",1.25%,0.93%,123
Arizona,14,"7,801,100",1.42%,1.42%,69
Tennessee,15,"7,386,640",1.09%,1.10%,179
Massachusetts,16,"7,275,380",0.97%,0.67%,933
Indiana,17,"7,012,560",0.63%,0.55%,196
Maryland,18,"6,355,540",0.73%,0.48%,655
Missouri,19,"6,320,320",0.60%,0.45%,92
Colorado,20,"6,069,800",0.93%,0.81%,59
Wisconsin,21,"6,022,120",0.51%,0.35%,111
Minnesota,22,"5,873,360",0.69%,0.47%,74
South Carolina,23,"5,660,830",1.63%,1.72%,188
Alabama,24,"5,237,750",0.77%,0.68%,103
Kentucky,25,"4,663,930",0.82%,0.57%,118
Louisiana,26,"4,617,080",0.21%,-0.13%,107
Oregon,27,"4,309,810",0.44%,0.26%,45
Oklahoma,28,"4,158,420",0.76%,0.81%,61
Connecticut,29,"3,739,160",0.86%,0.74%,772
Utah,30,"3,624,400",1.70%,1.73%,44
Nevada,31,"3,373,680",1.60%,1.37%,31
Iowa,32,"3,287,640",0.71%,0.50%,59
Arkansas,33,"3,126,140",0.61%,0.62%,60
Kansas,34,"3,008,820",0.64%,0.40%,37
Mississippi,35,"2,942,790",0%,-0.09%,63
New Mexico,36,"2,148,440",0.43%,0.24%,18
Idaho,37,"2,062,610",1.50%,1.92%,25
Nebraska,38,"2,040,670",0.87%,0.66%,27
West Virginia,39,"1,768,950",-0.03%,-0.21%,74
Hawaii,40,"1,455,660",0.33%,0.05%,227
New Hampshire,41,"1,422,700",0.48%,0.53%,159
Maine,42,"1,415,740",0.38%,0.63%,46
Montana,43,"1,149,100",0.52%,0.95%,7.9
Rhode Island,44,"1,130,070",0.79%,0.51%,"1,093"
Delaware,45,"1,082,900",1.45%,1.53%,556
South Dakota,46,"937,397",0.68%,0.93%,12
North Dakota,47,"811,610",0.94%,0.69%,12
Alaska,48,"747,379",0.49%,0.33%,1.3
Vermont,49,"648,063",-0.03%,0.13%,70
Wyoming,50,"592,720",0.43%,0.43%,6.1